time;latitude;longitude;HSW
2022-12-05T06:00:00;-6.31;112.27;0.06
2022-12-05T12:00:00;-6.21;111.8;0.08
2022-12-05T12:00:00;-6.22;112.04;0.04
2022-12-05T12:00:00;-6.26;112.2;0.04
2022-12-05T12:00:00;-6.31;112.27;0.04
2022-12-05T18:00:00;-6.21;111.8;0.04
2022-12-05T18:00:00;-6.22;112.04;0.03
2022-12-05T18:00:00;-6.26;112.2;0.04
2022-12-05T18:00:00;-6.31;112.27;0.04
2022-12-06T00:00:00;-6.21;111.8;0.03
2022-12-06T00:00:00;-6.22;112.04;0.03
2022-12-06T00:00:00;-6.26;112.2;0.04
2022-12-06T00:00:00;-6.31;112.27;0.04
2022-12-06T06:00:00;-6.21;111.8;0.02
2022-12-06T06:00:00;-6.22;112.04;0.03
2022-12-06T06:00:00;-6.26;112.2;0.03
2022-12-06T06:00:00;-6.31;112.27;0.04
2022-12-06T12:00:00;-6.21;111.8;0.02
2022-12-06T12:00:00;-6.22;112.04;0.02
2022-12-06T12:00:00;-6.26;112.2;0.03
2022-12-06T12:00:00;-6.31;112.27;0.03
2022-12-06T18:00:00;-6.21;111.8;0.02
2022-12-06T18:00:00;-6.22;112.04;0.02
2022-12-06T18:00:00;-6.26;112.2;0.06
2022-12-06T18:00:00;-6.31;112.27;0.04
2022-12-07T00:00:00;-6.21;111.8;0.04
2022-12-07T00:00:00;-6.22;112.04;0.03
2022-12-07T00:00:00;-6.26;112.2;0.07
2022-12-07T00:00:00;-6.31;112.27;0.06
2022-12-07T06:00:00;-6.21;111.8;0.04
2022-12-07T06:00:00;-6.22;112.04;0.04
2022-12-07T06:00:00;-6.26;112.2;0.07
2022-12-07T06:00:00;-6.31;112.27;0.07
2022-12-07T12:00:00;-6.21;111.8;0.04
2022-12-07T12:00:00;-6.22;112.04;0.04
2022-12-07T12:00:00;-6.26;112.2;0.04
2022-12-07T12:00:00;-6.31;112.27;0.06
2022-12-07T18:00:00;-6.21;111.8;0.04
2022-12-07T18:00:00;-6.22;112.04;0.04
2022-12-07T18:00:00;-6.26;112.2;0.04
2022-12-07T18:00:00;-6.31;112.27;0.04
2022-12-08T00:00:00;-6.21;111.8;0.03
2022-12-08T00:00:00;-6.22;112.04;0.03
2022-12-08T00:00:00;-6.26;112.2;0.04
2022-12-08T00:00:00;-6.31;112.27;0.04
2022-12-08T06:00:00;-6.21;111.8;0.08
2022-12-08T06:00:00;-6.22;112.04;0.08
2022-12-08T06:00:00;-6.26;112.2;0.09
2022-12-08T06:00:00;-6.31;112.27;0.09
2022-12-08T12:00:00;-6.21;111.8;0.06
2022-12-08T12:00:00;-6.22;112.04;0.06
2022-12-08T12:00:00;-6.26;112.2;0.07
2022-12-08T12:00:00;-6.31;112.27;0.08
2022-12-08T18:00:00;-6.21;111.8;0.04
2022-12-08T18:00:00;-6.22;112.04;0.06
2022-12-08T18:00:00;-6.26;112.2;0.06
2022-12-08T18:00:00;-6.31;112.27;0.07
2022-12-09T00:00:00;-6.21;111.8;0.12
2022-12-09T00:00:00;-6.22;112.04;0.13
2022-12-09T00:00:00;-6.26;112.2;0.07
2022-12-09T00:00:00;-6.31;112.27;0.13
2022-12-09T06:00:00;-6.21;111.8;0.14
2022-12-09T06:00:00;-6.22;112.04;0.12
2022-12-09T06:00:00;-6.26;112.2;0.14
2022-12-09T06:00:00;-6.31;112.27;0.17
2022-12-09T12:00:00;-6.21;111.8;0.14
